Name	frame_num	pts_tracked	loop_time	track_time
Shi Tomasi	147	1	12.983	12.9769
Shi Tomasi	148	1	12.9411	12.9335
Shi Tomasi	149	1	12.9916	12.9848
Shi Tomasi	150	1	12.9975	12.9908
Shi Tomasi	151	1	12.9516	12.9437
Shi Tomasi	152	1	12.9669	12.9597
Shi Tomasi	153	1	12.9122	12.9051
Shi Tomasi	154	1	12.888	12.8817
Shi Tomasi	155	1	12.9731	12.9655
Shi Tomasi	156	1	12.8859	12.8791
Shi Tomasi	157	1	13.0003	12.9941
Shi Tomasi	158	1	12.8878	12.8811
Shi Tomasi	159	1	12.9649	12.9588
Shi Tomasi	160	1	12.9896	12.9839
Shi Tomasi	161	1	12.9436	12.9374
Shi Tomasi	162	1	13.0367	13.0303
Shi Tomasi	163	1	13.0591	13.0526
Shi Tomasi	164	1	13.0868	13.081
Shi Tomasi	165	1	13.1133	13.106
Shi Tomasi	166	1	13.269	13.2631
Shi Tomasi	167	1	13.0282	13.0218
Shi Tomasi	168	1	12.8933	12.887
Shi Tomasi	169	1	13.0085	13.0028
Shi Tomasi	170	1	12.9899	12.9838
Shi Tomasi	171	1	12.9248	12.919
Shi Tomasi	172	1	12.9469	12.9402
Shi Tomasi	173	1	13.0262	13.0185
Shi Tomasi	174	1	13.0171	13.0095
Shi Tomasi	175	1	13.1297	13.1231
Shi Tomasi	176	1	13.117	13.1108
Shi Tomasi	177	1	13.0676	13.0616
Shi Tomasi	178	1	13.0008	12.9941
Shi Tomasi	179	1	12.9785	12.9718
Shi Tomasi	180	1	13.1925	13.1859
Shi Tomasi	181	1	13.1087	13.1019
Shi Tomasi	182	1	13.0747	13.0692
Shi Tomasi	183	1	13.0569	13.05
Shi Tomasi	184	1	12.9822	12.9758
Shi Tomasi	185	1	13.1159	13.1075
Shi Tomasi	186	1	13.1091	13.1031
Shi Tomasi	187	1	14.0967	14.0864
Shi Tomasi	188	1	12.8689	12.8606
Shi Tomasi	189	1	14.8482	14.8407
Shi Tomasi	190	1	15.2873	15.2811
Shi Tomasi	191	1	14.243	14.2352
Shi Tomasi	192	1	15.7134	15.7064
Shi Tomasi	193	1	14.3559	14.3478
Shi Tomasi	194	1	15.1464	15.1383
Shi Tomasi	195	1	14.4739	14.4655
Shi Tomasi	196	1	15.1554	15.1492
Shi Tomasi	197	1	14.81	14.8036
Shi Tomasi	198	1	15.232	15.2249
Shi Tomasi	199	1	14.3915	14.3823
Shi Tomasi	200	1	15.1523	15.1452
Shi Tomasi	201	1	14.3869	14.3801
Shi Tomasi	202	1	15.171	15.1639
Shi Tomasi	203	1	14.2245	14.2159
Shi Tomasi	204	1	15.0869	15.0797
Shi Tomasi	205	1	14.4337	14.4269
Shi Tomasi	206	1	15.2756	15.2686
Shi Tomasi	207	1	14.4928	14.4855
Shi Tomasi	208	1	15.4524	15.4459
Shi Tomasi	209	1	14.328	14.3202
Shi Tomasi	210	1	15.2087	15.2016
Shi Tomasi	211	1	14.3263	14.3185
Shi Tomasi	212	1	15.1786	15.1716
Shi Tomasi	213	1	14.2269	14.218
Shi Tomasi	214	1	15.2724	15.2655
Shi Tomasi	215	1	14.2907	14.2828
Shi Tomasi	216	1	15.1339	15.1269
Shi Tomasi	217	1	14.3941	14.3847
Shi Tomasi	218	1	15.2384	15.2314
Shi Tomasi	219	1	14.0321	14.0234
Shi Tomasi	220	1	13.125	13.1167
Shi Tomasi	221	1	13.4407	13.4338
Shi Tomasi	222	1	13.0174	13.0112
Shi Tomasi	223	1	13.0686	13.0623
Shi Tomasi	224	1	13.0818	13.0758
Shi Tomasi	225	1	12.9946	12.9882
Name	frame_num	pts_tracked	loop_time	track_time
FAST	0	50	28.838	28.8316
FAST	1	50	42.1217	41.9351
FAST	2	50	41.8487	41.8416
FAST	3	50	39.3153	39.3089
FAST	4	50	39.4448	39.4372
FAST	5	50	39.3749	39.3668
FAST	6	50	39.6262	39.6198
FAST	7	50	40.0391	40.0321
FAST	8	50	40.2174	40.2113
FAST	9	50	37.4731	37.4662
FAST	10	50	38.274	38.2675
FAST	11	50	37.0725	37.0663
FAST	12	50	36.2782	36.2705
FAST	13	50	36.9635	36.9561
FAST	14	50	37.0526	37.0455
FAST	15	50	36.6021	36.5958
FAST	16	50	37.6419	37.6342
FAST	17	50	37.0357	37.0287
FAST	18	50	37.5535	37.5453
FAST	19	50	37.9732	37.9658
FAST	20	50	37.6613	37.6545
FAST	21	50	36.8616	36.8547
FAST	22	50	37.1542	37.1468
FAST	23	50	36.3906	36.3838
FAST	24	50	36.6306	36.6238
FAST	25	50	36.7365	36.7295
FAST	26	50	35.2517	35.2448
FAST	27	50	35.9078	35.9005
FAST	28	50	36.2234	36.2156
FAST	29	50	35.836	35.829
FAST	30	50	35.5294	35.5225
FAST	31	50	35.4628	35.4568
FAST	32	50	35.3725	35.3655
FAST	33	50	34.4229	34.4161
FAST	34	50	33.9719	33.9649
FAST	35	50	34.0628	34.0549
FAST	36	50	36.1868	36.1788
FAST	37	50	35.4757	35.4687
FAST	38	50	36.4074	36.3995
FAST	39	50	36.7042	36.6972
FAST	40	50	35.6478	35.6405
FAST	41	50	35.4299	35.4236
FAST	42	50	35.76	35.7532
FAST	43	50	35.2022	35.1957
FAST	44	50	36.0644	36.0577
FAST	45	50	36.0317	36.024
FAST	46	50	35.9547	35.9481
FAST	47	50	36.7315	36.7238
FAST	48	50	36.5851	36.5783
FAST	49	50	37.2397	37.2335
FAST	50	50	37.7866	37.7787
FAST	51	50	37.804	37.7975
FAST	52	50	37.5355	37.5277
FAST	53	50	37.5831	37.5764
FAST	54	50	38.0283	38.0204
FAST	55	50	38.4516	38.4434
FAST	56	50	37.4903	37.4833
FAST	57	50	38.8351	38.8274
FAST	58	50	40.5437	40.5367
FAST	59	50	42.72	42.7129
FAST	60	49	41.4355	41.4276
FAST	61	49	40.7964	40.79
FAST	62	48	38.4677	38.4609
FAST	63	48	39.3188	39.312
FAST	64	48	39.7553	39.749
FAST	65	47	43.5746	43.5675
FAST	66	45	37.6142	37.6073
FAST	67	44	35.8325	35.8248
FAST	68	44	37.2065	37.1996
FAST	69	44	44.3496	44.3424
FAST	70	42	41.6454	41.6375
FAST	71	41	38.5563	38.5493
FAST	72	40	34.8825	34.8736
FAST	73	39	33.5908	33.5832
FAST	74	39	33.8109	33.8037
FAST	75	39	33.024	33.0167
FAST	76	39	34.449	34.441
FAST	77	39	34.3217	34.3146
FAST	78	39	34.196	34.1888
FAST	79	39	34.5739	34.5657
FAST	80	39	35.4201	35.4131
FAST	81	39	35.4899	35.4826
FAST	82	39	32.6984	32.6911
FAST	83	39	36.815	36.8086
FAST	84	39	34.5528	34.5453
FAST	85	39	34.2651	34.2553
FAST	86	39	35.6079	35.6013
FAST	87	39	34.3842	34.3768
FAST	88	39	33.5236	33.5162
FAST	89	37	35.7313	35.7248
FAST	90	36	31.397	31.3898
FAST	91	36	31.4353	31.4278
FAST	92	36	31.6004	31.5926
FAST	93	36	33.1562	33.1483
FAST	94	36	39.8987	39.8898
FAST	95	35	40.5769	40.5707
FAST	96	35	37.344	37.3359
FAST	97	28	37.1743	37.1676
FAST	98	23	31.0561	31.0486
FAST	99	11	27.3571	27.3476
FAST	100	9	17.8019	17.794
FAST	101	9	17.0363	17.0268
FAST	102	9	17.329	17.3185
FAST	103	9	18.0457	18.0371
FAST	104	9	17.389	17.3799
FAST	105	9	17.5708	17.5636
FAST	106	8	18.7317	18.722
FAST	107	8	16.8871	16.8773
FAST	108	6	16.9443	16.9343
FAST	109	5	15.1941	15.1841
FAST	110	5	15.2501	15.2417
FAST	111	5	14.8145	14.8054
FAST	112	5	14.6509	14.6423
FAST	113	5	14.5971	14.5885
FAST	114	5	14.6789	14.6701
FAST	115	5	14.7217	14.7136
FAST	116	5	14.6712	14.6627
FAST	117	5	14.6454	14.6371
FAST	118	5	14.5896	14.5806
FAST	119	5	14.5908	14.5827
