Name	frame_num	pts_tracked	pts_added	loop_time	track_time	mgmt_time
Shi Tomasi	110	30	0	20.2458	20.2365	0.004375
Shi Tomasi	111	29	1	39.5014	19.1288	20.3654
Shi Tomasi	112	30	0	16.4179	16.4085	0.00475
Shi Tomasi	113	29	1	39.8421	21.8571	17.9792
Shi Tomasi	114	29	1	38.4866	20.542	17.938
Shi Tomasi	115	30	0	18.2978	18.2888	0.004875
Shi Tomasi	116	30	0	16.145	16.1363	0.004625
Shi Tomasi	117	30	0	17.6937	17.6833	0.005667
Shi Tomasi	118	30	0	16.7216	16.7129	0.003292
Shi Tomasi	119	30	0	14.8988	14.8914	0.003291
Shi Tomasi	120	29	1	32.8255	14.9296	17.8908
Shi Tomasi	121	27	3	40.5552	20.4047	20.144
Shi Tomasi	122	25	5	41.7136	23.8	17.9079
Shi Tomasi	123	24	6	31.2246	13.1693	18.0505
Shi Tomasi	124	26	4	33.0222	15.1296	17.8856
Shi Tomasi	125	28	2	33.3605	15.4936	17.8613
Shi Tomasi	126	28	2	33.2382	14.9573	18.2758
Shi Tomasi	127	27	3	34.4864	16.4821	17.998
Shi Tomasi	128	29	1	35.8071	18.1156	17.6855
Shi Tomasi	129	29	1	35.5218	15.3316	20.1839
Shi Tomasi	130	30	0	15.7712	15.7616	0.004625
Shi Tomasi	131	30	0	18.1565	18.1484	0.003875
Shi Tomasi	132	30	0	19.8353	19.8268	0.0035
Shi Tomasi	133	29	1	33.9763	16.1546	17.8155
Shi Tomasi	134	30	0	14.6088	14.6002	0.004084
Shi Tomasi	135	30	0	14.9429	14.9342	0.004083
Shi Tomasi	136	30	0	14.7745	14.7669	0.003333
Shi Tomasi	137	30	0	15.0009	14.9882	0.007041
Shi Tomasi	138	30	0	19.3516	19.3423	0.004167
Shi Tomasi	139	30	0	16.15	16.1413	0.004208
Shi Tomasi	140	30	0	16.7487	16.7398	0.004791
Shi Tomasi	141	30	0	17.3124	17.3024	0.004583
Shi Tomasi	142	30	0	18.274	18.2637	0.0055
Shi Tomasi	143	26	4	39.9987	20.5154	19.4766
Shi Tomasi	144	28	2	37.0864	19.9997	17.0801
Shi Tomasi	145	27	3	32.4885	15.5732	16.9101
Shi Tomasi	146	28	2	35.2259	14.9086	20.3102
Shi Tomasi	147	29	1	34.1087	17.1736	16.9297
Shi Tomasi	148	29	1	39.5467	22.8839	16.6559
Shi Tomasi	149	30	0	24.2899	24.279	0.00475
Shi Tomasi	150	30	0	16.7279	16.7185	0.004042
Shi Tomasi	151	29	1	33.8012	15.4251	18.3692
Shi Tomasi	152	30	0	15.4642	15.4544	0.004291
Shi Tomasi	153	30	0	15.7236	15.7158	0.003667
Shi Tomasi	154	30	0	14.8657	14.8587	0.002666
Shi Tomasi	155	30	0	14.5747	14.5674	0.003166
Shi Tomasi	156	30	0	16.5803	16.5684	0.005958
Shi Tomasi	157	30	0	21.4547	21.4456	0.003917
Shi Tomasi	158	24	6	36.8921	20.0883	16.7985
Shi Tomasi	159	28	2	35.0301	16.3133	18.7104
Shi Tomasi	160	29	1	42.6278	25.8391	16.7821
Shi Tomasi	161	27	3	39.6557	22.7737	16.8759
Shi Tomasi	162	28	2	39.0305	20.0229	19.0008
Shi Tomasi	163	26	4	32.2262	15.4146	16.8061
Shi Tomasi	164	23	7	36.9261	20.1201	16.8004
Shi Tomasi	165	25	5	36.3605	16.3086	20.0446
Shi Tomasi	166	28	2	31.1117	14.5139	16.5921
Shi Tomasi	167	29	1	33.4048	16.646	16.7527
Shi Tomasi	168	30	0	24.3778	24.3698	0.003792
Shi Tomasi	169	29	1	35.296	18.5574	16.7328
Shi Tomasi	170	29	1	31.9947	15.2766	16.7133
Shi Tomasi	171	30	0	19.2345	19.2209	0.008041
Shi Tomasi	172	30	0	18.6217	18.612	0.004042
Shi Tomasi	173	29	1	33.0682	16.2228	16.84
Shi Tomasi	174	29	1	33.0929	15.7488	17.3377
Shi Tomasi	175	30	0	16.9643	16.9545	0.004625
Shi Tomasi	176	28	2	35.9321	19.227	16.6992
Shi Tomasi	177	29	1	31.8167	15.0701	16.7402
Shi Tomasi	178	29	1	35.4247	18.6528	16.7651
Shi Tomasi	179	30	0	16.4281	16.4186	0.004583
Shi Tomasi	180	30	0	15.4668	15.459	0.003541
Shi Tomasi	181	30	0	18.1479	18.1378	0.004834
Shi Tomasi	182	28	2	34.7492	17.9388	16.8039
Shi Tomasi	183	25	5	33.4629	16.7326	16.7235
Shi Tomasi	184	27	3	32.626	15.7818	16.8394
Shi Tomasi	185	27	3	32.6845	15.9192	16.7578
Shi Tomasi	186	29	1	32.5617	15.6197	16.9368
Shi Tomasi	187	30	0	19.4658	19.458	0.003875
Shi Tomasi	188	29	1	33.6103	16.9491	16.6536
Shi Tomasi	189	30	0	17.6067	17.5985	0.004209
Shi Tomasi	190	30	0	16.136	16.1261	0.004
Shi Tomasi	191	29	1	38.2284	18.7188	19.5024
Shi Tomasi	192	29	1	32.1755	15.3916	16.7781
Shi Tomasi	193	30	0	15.4276	15.4181	0.005208
Shi Tomasi	194	30	0	15.4244	15.4174	0.002666
Shi Tomasi	195	30	0	15.4476	15.4345	0.007417
Shi Tomasi	196	30	0	15.831	15.8223	0.003416
Shi Tomasi	197	30	0	14.4974	14.4891	0.003833
Shi Tomasi	198	30	0	14.4085	14.4006	0.003291
Shi Tomasi	199	30	0	15.1847	15.1768	0.003208
Shi Tomasi	200	30	0	16.2916	16.2795	0.005334
Shi Tomasi	201	30	0	15.4472	15.4386	0.003333
Shi Tomasi	202	30	0	31.6427	31.6346	0.00325
Shi Tomasi	203	28	2	50.3682	28.067	22.2949
Shi Tomasi	204	30	0	17.9698	17.9585	0.005583
Shi Tomasi	205	30	0	16.0304	16.0222	0.003583
Shi Tomasi	206	30	0	15.852	15.8396	0.006208
Shi Tomasi	207	29	1	35.1833	17.5443	17.6316
Shi Tomasi	208	30	0	17.2729	17.2627	0.00525
Shi Tomasi	209	30	0	15.0288	15.0214	0.003292
Shi Tomasi	210	30	0	17.0242	17.0133	0.005292
Shi Tomasi	211	30	0	16.9999	16.9906	0.004208
Shi Tomasi	212	30	0	15.7874	15.7799	0.003042
Shi Tomasi	213	30	0	16.3006	16.2914	0.004209
Shi Tomasi	214	30	0	17.8519	17.84	0.005792
Shi Tomasi	215	30	0	21.1827	21.1731	0.004333
Shi Tomasi	216	29	1	36.9119	20.1238	16.7827
Shi Tomasi	217	29	1	35.0651	16.7722	18.2855
Shi Tomasi	218	30	0	24.989	24.9793	0.004542
Shi Tomasi	219	30	0	17.1054	17.0968	0.004
Shi Tomasi	220	30	0	16.1932	16.1841	0.004375
Shi Tomasi	221	29	1	36.774	20.1369	16.6301
Shi Tomasi	222	30	0	21.7175	21.7099	0.00375
Shi Tomasi	223	30	0	15.6069	15.5988	0.003667
Shi Tomasi	224	30	0	16.7227	16.7132	0.003333
Shi Tomasi	225	30	0	15.333	15.3244	0.004459
Shi Tomasi	226	30	0	15.4115	15.4037	0.003333
Shi Tomasi	227	30	0	15.4736	15.4664	0.003416
Shi Tomasi	228	29	1	36.9141	15.7756	21.1319
